Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
book,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.5,-21.40746770355989,30,3337,211,443,4021
book,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5,-28.734761281722523,68,2739,284,337,3428
book,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.5,-82.75707752790751,118,2238,787,285,3428
book,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.5,-64.33986320038893,105,2937,610,369,4021
book,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.5,-77.37049277587715,98,2276,750,304,3428
book,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.5,-19.97272345081508,14,3268,195,451,3928
book,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5,-28.593258969804204,48,646,285,78,1057
book,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.5,1.7265627600185103,4,3026,0,398,3428
book,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.5,1.3931016041511954,3,3023,3,399,3428
book,standard,realKnownCause/ambient_temperature_system_failure.csv,0.5,-22.336781005724013,32,5563,228,694,6517
book,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.5,-326.8002723900878,349,12821,2980,1150,17300
book,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.5,-1.7272781132831887,4,3066,16,342,3428
book,standard,realKnownCause/machine_temperature_system_failure.csv,0.5,-54.055517254483945,103,19129,548,2165,21945
book,standard,realKnownCause/nyc_taxi.csv,0.5,-225.51843258601457,244,6372,2163,791,9570
book,standard,realKnownCause/rogue_agent_key_hold.csv,0.5,-2.316977818364725,0,1407,3,190,1600
book,standard,realKnownCause/rogue_agent_key_updown.csv,0.5,-4.929304850305738,10,3971,64,520,4565
book,standard,realTraffic/occupancy_6005.csv,0.5,-10.728136352328416,12,1675,109,227,2023
book,standard,realTraffic/occupancy_t4013.csv,0.5,-12.688159672595091,22,1733,142,228,2125
book,standard,realTraffic/speed_6005.csv,0.5,-47.84117558435248,66,1442,444,173,2125
book,standard,realTraffic/speed_7578.csv,0.5,-6.026072426296473,26,750,92,90,958
book,standard,realTraffic/speed_t4013.csv,0.5,-13.13980193575961,29,1728,143,221,2121
book,standard,realTraffic/TravelTime_387.csv,0.5,-45.59887413172597,72,1413,463,177,2125
book,standard,realTraffic/TravelTime_451.csv,0.5,-41.61760735165279,54,1216,405,163,1838
book,standard,realTweets/Twitter_volume_AAPL.csv,0.5,-374.1062534814996,495,9993,3571,1093,15152
book,standard,realTweets/Twitter_volume_AMZN.csv,0.5,-408.29491009115134,457,9623,3878,1123,15081
book,standard,realTweets/Twitter_volume_CRM.csv,0.5,-90.47388700108193,140,12670,889,1453,15152
book,standard,realTweets/Twitter_volume_CVS.csv,0.5,-4.2570653079291265,18,13511,66,1508,15103
book,standard,realTweets/Twitter_volume_FB.csv,0.5,-233.79581742522592,276,11282,2219,1306,15083
book,standard,realTweets/Twitter_volume_GOOG.csv,0.5,-246.23285373797484,249,11326,2334,1183,15092
book,standard,realTweets/Twitter_volume_IBM.csv,0.5,-116.96371510156263,127,12435,1118,1463,15143
book,standard,realTweets/Twitter_volume_KO.csv,0.5,-215.15738913373775,263,11451,2063,1324,15101
book,standard,realTweets/Twitter_volume_PFE.csv,0.5,-14.601752846828035,47,13346,174,1541,15108
book,standard,realTweets/Twitter_volume_UPS.csv,0.5,-75.69394498858415,142,12783,748,1443,15116
Totals,,,,-3127.98102055164,3914,269435,29912,29581,332842
