Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
book,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.5,-7.810000000000009,0,3357,71,0,3428
book,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.5,-2.64,0,3404,24,0,3428
book,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.5,-17.379999999999963,0,3270,158,0,3428
book,standard,artificialNoAnomaly/art_flatline.csv,0.5,0.0,0,3428,0,0,3428
book,standard,artificialNoAnomaly/art_noisy.csv,0.5,-46.859999999999815,0,3002,426,0,3428
book,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.5,-7.26991430857298,10,2948,77,393,3428
book,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5,-14.859835254300815,7,2877,148,396,3428
book,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.5,-14.506600310791756,42,2880,145,361,3428
book,standard,artificialWithAnomaly/art_daily_nojump.csv,0.5,-14.216409465853568,5,2881,144,398,3428
book,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.5,-9.474055595462968,18,2927,98,385,3428
book,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.5,0.9121876103580406,15,3022,3,388,3428
book,standard,realAdExchange/exchange-2_cpc_results.csv,0.5,-1.0,0,1218,0,163,1381
book,standard,realAdExchange/exchange-2_cpm_results.csv,0.5,-2.0,0,1219,0,162,1381
book,standard,realAdExchange/exchange-3_cpc_results.csv,0.5,-3.0,0,1155,0,153,1308
book,standard,realAdExchange/exchange-3_cpm_results.csv,0.5,-1.11,0,1154,1,153,1308
book,standard,realAdExchange/exchange-4_cpc_results.csv,0.5,-3.1100000000000003,0,1231,1,165,1397
book,standard,realAdExchange/exchange-4_cpm_results.csv,0.5,-4.11,0,1232,1,164,1397
book,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.5,-2.0,0,3026,0,402,3428
book,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.5,-2.0,0,3026,0,402,3428
book,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.5,1.7498594215780037,7,3026,0,395,3428
book,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.5,-22.924681404944106,41,2791,234,362,3428
book,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.5,-23.536186190831053,14,2852,233,329,3428
book,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.5,-0.038111533922267626,6,3016,9,397,3428
book,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.5,0.0,0,3428,0,0,3428
book,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5,-15.839312384441296,24,2869,154,381,3428
