Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
azure,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.5,0.0,0,3428,0,0,3428
azure,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.5,0.0,0,3428,0,0,3428
azure,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.5,0.0,0,3428,0,0,3428
azure,standard,artificialNoAnomaly/art_flatline.csv,0.5,0.0,0,3428,0,0,3428
azure,standard,artificialNoAnomaly/art_noisy.csv,0.5,0.0,0,3428,0,0,3428
azure,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.5,-1.5838071208224824,187,2939,86,216,3428
azure,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5,0.8589086704377245,90,3025,0,313,3428
azure,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.5,0.8606718242697022,113,3025,0,290,3428
azure,standard,artificialWithAnomaly/art_daily_nojump.csv,0.5,0.8606718242697022,108,3025,0,295,3428
azure,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.5,-5.4471741816662105,12,2965,60,391,3428
azure,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.5,-28.741749309577553,115,2736,289,288,3428
azure,standard,realAdExchange/exchange-2_cpc_results.csv,0.5,-2.924860192606406,1,1183,35,162,1381
azure,standard,realAdExchange/exchange-2_cpm_results.csv,0.5,-6.964966539424247,8,1136,83,154,1381
azure,standard,realAdExchange/exchange-3_cpc_results.csv,0.5,-1.9622597913219126,19,1111,44,134,1308
azure,standard,realAdExchange/exchange-3_cpm_results.csv,0.5,-5.549600765110891,3,1094,61,150,1308
azure,standard,realAdExchange/exchange-4_cpc_results.csv,0.5,-0.22219059801102503,10,1206,26,155,1397
azure,standard,realAdExchange/exchange-4_cpm_results.csv,0.5,-0.9688461347794999,5,1207,26,159,1397
azure,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.5,-84.4269550965805,106,2217,809,296,3428
azure,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.5,-2.0,0,3026,0,402,3428
azure,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.5,-0.3509982435695854,1,3026,0,401,3428
azure,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.5,-62.27242399887518,113,2407,618,290,3428
azure,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.5,0.3111905043163295,101,3057,28,242,3428
azure,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.5,-15.689434605451124,204,2770,255,199,3428
azure,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.5,-86.12999999999961,0,2645,783,0,3428
azure,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5,-50.54384735806123,75,2550,473,330,3428
azure,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.5,-38.59477584496825,65,3178,370,408,4021
azure,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5,-54.004811921626924,127,2496,527,278,3428
azure,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.5,-20.62886675700011,114,2810,215,289,3428
azure,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.5,-37.333826772773705,108,3187,360,366,4021
azure,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.5,-4.930204003804083,16,2963,63,386,3428
azure,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.5,-83.39601889731469,78,2673,790,387,3928
azure,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5,0.43172139758119144,22,918,13,104,1057
azure,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.5,-57.5551910382425,302,2376,650,100,3428
azure,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.5,-0.13844919792440225,2,3026,0,400,3428
azure,standard,realKnownCause/ambient_temperature_system_failure.csv,0.5,-2.0,0,5791,0,726,6517
azure,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.5,-0.037896700215358625,3,3082,0,343,3428
azure,standard,realKnownCause/rogue_agent_key_hold.csv,0.5,-1.6112790532514047,2,1403,7,188,1600
azure,standard,realKnownCause/rogue_agent_key_updown.csv,0.5,-42.33033421847011,32,3609,426,498,4565
azure,standard,realTraffic/occupancy_6005.csv,0.5,-3.003329681446293,12,1747,37,227,2023
azure,standard,realTraffic/occupancy_t4013.csv,0.5,1.6260251845026104,14,1874,1,236,2125
azure,standard,realTraffic/speed_6005.csv,0.5,0.8426220017559383,3,1886,0,236,2125
azure,standard,realTraffic/speed_7578.csv,0.5,2.9146970183587992,24,835,7,92,958
azure,standard,realTraffic/speed_t4013.csv,0.5,1.7663178312188101,15,1871,0,235,2121
azure,standard,realTraffic/TravelTime_387.csv,0.5,-18.09383969085685,72,1666,210,177,2125
azure,standard,realTraffic/TravelTime_451.csv,0.5,-12.33441656225073,40,1483,138,177,1838
Totals,,,,-721.299528019292,2322,112364,7490,10720,132896
